date,SPY,XLE,XLK,XLU,XLP,IEF,XLI,XLF,XLB,XLV
2001-01-02,81.56419372558594,8.40488052368164,10.962861061096191,6.7739152908325195,15.120304107666016,,18.871919631958008,14.045774459838867,6.052947521209717,17.562334060668945
2001-01-03,85.48212432861328,8.148271560668945,12.728062629699707,6.631444454193115,14.424631118774414,,19.691585540771484,14.803556442260742,6.0889787673950195,18.947999954223633
2001-01-04,84.56201171875,7.895614147186279,12.855813980102539,6.527827739715576,13.854684829711914,,19.849599838256836,14.543316841125488,6.2916412353515625,19.504365921020508
2001-01-05,81.80164337158203,8.0653715133667,12.077729225158691,6.463068008422852,13.946884155273438,,19.27681541442871,14.237133026123047,6.161035537719727,18.979494094848633
2001-01-08,82.43485260009766,8.037734985351562,12.042892456054688,6.560207366943359,14.039082527160645,,19.11881446838379,14.091700553894043,6.179050922393799,18.706560134887695
2001-01-09,82.21717071533203,7.875877380371094,12.309989929199219,6.589348316192627,14.189956665039062,,19.17806625366211,13.854421615600586,5.926846981048584,18.937490463256836
2001-01-10,83.66168975830078,7.9272003173828125,12.681615829467773,6.5731587409973145,14.10612964630127,,19.355823516845703,14.08405590057373,5.980887413024902,19.084470748901367
2001-01-11,83.74081420898438,8.014049530029297,13.215825080871582,6.4209747314453125,13.829544067382812,,19.59284210205078,14.114664077758789,5.818755626678467,19.514860153198242
2001-01-12,83.58251953125,7.9627275466918945,13.018399238586426,6.469542980194092,13.812776565551758,,19.533580780029297,13.846758842468262,5.683648109436035,19.77730369567871
2001-01-16,84.11677551269531,7.958775520324707,12.867429733276367,6.365927219390869,14.005556106567383,,19.721214294433594,14.091700553894043,5.872799873352051,19.98725700378418
2001-01-17,84.50264739990234,7.919300556182861,13.26227855682373,6.382114410400391,13.846304893493652,,19.691585540771484,14.114664077758789,5.8412766456604,20.134227752685547
2001-01-18,85.34361267089844,7.769285678863525,13.959066390991211,6.495449066162109,13.955266952514648,,19.819969177246094,13.908002853393555,5.809747219085693,20.071243286132812
2001-01-19,84.85877990722656,7.733755111694336,14.150691032409668,6.476018905639648,13.846304893493652,,19.61258316040039,13.808496475219727,5.647618770599365,19.57785987854004
2001-01-22,85.42272186279297,7.816657543182373,13.889386177062988,6.463068008422852,13.930118560791016,,19.573081970214844,14.053439140319824,5.692651271820068,19.441396713256836
2001-01-23,86.0955810546875,7.939043045043945,14.121644973754883,6.4565911293029785,14.022326469421387,,19.829851150512695,14.19120979309082,5.710666656494141,19.892778396606445
2001-01-24,86.35276794433594,7.931143283843994,14.29586124420166,6.466305255889893,13.972028732299805,,19.721214294433594,14.275415420532227,5.733185768127441,19.703815460205078
2001-01-25,86.1351318359375,8.168011665344238,13.796483993530273,6.5116376876831055,14.265379905700684,,19.711334228515625,14.405536651611328,5.809747219085693,19.672325134277344
2001-01-26,86.03617858886719,8.029839515686035,13.889386177062988,6.45011568069458,14.12290096282959,,19.385459899902344,14.459117889404297,5.751199245452881,19.47287368774414
2001-01-29,86.49526977539062,7.963834285736084,14.181108474731445,6.550625801086426,14.005891799926758,,19.466415405273438,14.471056938171387,5.733007431030273,19.79242515563965
2001-01-30,87.25506591796875,8.032045364379883,14.214559555053711,6.550625801086426,14.166818618774414,,19.782447814941406,14.598426818847656,5.949182987213135,19.752107620239258
2001-01-31,86.76119232177734,8.11795711517334,13.861516952514648,6.490522384643555,14.20436954498291,,19.82668685913086,14.417169570922852,6.009710788726807,19.631181716918945
2001-02-01,87.3373794555664,8.014361381530762,13.854089736938477,6.569273471832275,14.327741622924805,,19.567548751831055,14.436771392822266,6.041419506072998,19.893192291259766
2001-02-02,85.35547637939453,8.148271560668945,13.244626998901367,6.496743202209473,14.418936729431152,,19.50435447692871,14.475956916809082,6.021241188049316,19.65805435180664
2001-02-05,85.98236083984375,8.31250286102295,13.162867546081543,6.544406890869141,14.408206939697266,,19.59916114807129,14.573928833007812,6.076008319854736,19.644620895385742
